link,name,avgRating,numOfRating,category,price,plusCode,
https://www.google.com/maps/place/White+Sand+Hotel+%26+Apartment+Da+Nang/data=!4m10!3m9!1s0x314217bc600a6c3b:0xb89352b8f46051b1!5m2!4m1!1i2!8m2!3d16.0628241!4d108.2422918!16s%2Fg%2F11qqcjjs4z!19sChIJO2wKYLwXQjERsVFg9LhSk7g?authuser=0&hl=vi&rclk=1,White Sand Hotel & Apartment Da Nang,"4,2",(384),Khách sạn 3 sao,527 N,,
https://www.google.com/maps/place/Fusion+Suites+Da+Nang/data=!4m10!3m9!1s0x3142178da9720b99:0x79a511f54df7b9b1!5m2!4m1!1i2!8m2!3d16.0811443!4d108.2469848!16s%2Fg%2F11b7l81m0j!19sChIJmQtyqY0XQjERsbn3TfURpXk?authuser=0&hl=vi&rclk=1,Fusion Suites Da Nang,"4,4",(1.480),Khách sạn 5 sao,"1,41 Tr",,
https://www.google.com/maps/place/Alisia+Beach+Hotel/data=!4m10!3m9!1s0x314217ee367d187b:0x8407d85311085d20!5m2!4m1!1i2!8m2!3d16.0921911!4d108.2509311!16s%2Fg%2F11f66tc7g1!19sChIJexh9Nu4XQjERIF0IEVPYB4Q?authuser=0&hl=vi&rclk=1,Alisia Beach Hotel,"4,1",(210),Khách sạn 3 sao,645 N,,
https://www.google.com/maps/place/Meli%C3%A1+Vinpearl+Danang+Riverfront/data=!4m10!3m9!1s0x314219d375b7e36d:0x87a589eecb31e2cd!5m2!4m1!1i2!8m2!3d16.0711221!4d108.2294441!16s%2Fg%2F11f66tbfgj!19sChIJbeO3ddMZQjERzeIxy-6JpYc?authuser=0&hl=vi&rclk=1,Meliá Vinpearl Danang Riverfront,"4,6",(1.640),Khách sạn 5 sao,"1,14 Tr",,
https://www.google.com/maps/place/Golden+Sea+3/data=!4m10!3m9!1s0x31421783c760b9b9:0xcf31c1440fabbe34!5m2!4m1!1i2!8m2!3d16.0658333!4d108.245!16s%2Fg%2F11c0v_xr7n!19sChIJublgx4MXQjERNL6rD0TBMc8?authuser=0&hl=vi&rclk=1,Golden Sea 3,"3,8",(302),Khách sạn 3 sao,691 N,,
https://www.google.com/maps/place/Tr%E1%BA%A1i+%C4%90i%C3%AAn+Homestay/data=!4m10!3m9!1s0x31421e2425d5fa51:0x3e0ad247bbe060fb!5m2!4m1!1i2!8m2!3d16.0635848!4d108.0543107!16s%2Fg%2F11c2khlxg6!19sChIJUfrVJSQeQjER-2Dgu0fSCj4?authuser=0&hl=vi&rclk=1,Trại Điên Homestay,"4,3",(58),Nhà tranh,371 N,,
https://www.google.com/maps/place/Balcona+Hotel+%26+Spa/data=!4m10!3m9!1s0x314217a431093021:0x2ea6f0ac97ca9bc7!5m2!4m1!1i2!8m2!3d16.0515762!4d108.2480845!16s%2Fg%2F11g0j4kxz2!19sChIJITAJMaQXQjERx5vKl6zwpi4?authuser=0&hl=vi&rclk=1,Balcona Hotel & Spa,"4,2",(509),Khách sạn 4 sao,951 N,,
https://www.google.com/maps/place/Val+Soleil+Hotel/data=!4m10!3m9!1s0x3142194e58a96d1f:0x3588b197e7a726ae!5m2!4m1!1i2!8m2!3d16.0646348!4d108.2233922!16s%2Fg%2F11gl37ws22!19sChIJH22pWE4ZQjERrian55exiDU?authuser=0&hl=vi&rclk=1,Val Soleil Hotel,"4,3",(175),Khách sạn 3 sao,"1,06 Tr",,
https://www.google.com/maps/place/Capital+O+1010+Pandora+Boutique+Villa/data=!4m10!3m9!1s0x314217a7f30d0c8b:0xea7ad38f3bf2a9c6!5m2!4m1!1i2!8m2!3d16.0372229!4d108.247485!16s%2Fg%2F11f7bqwwly!19sChIJiwwN86cXQjERxqnyO4_Teuo?authuser=0&hl=vi&rclk=1,Capital O 1010 Pandora Boutique Villa,"4,7",(62),Khách sạn 3 sao,"1,38 Tr",,
https://www.google.com/maps/place/Pavilion+Hotel+DaNang/data=!4m10!3m9!1s0x3142178218831491:0x5d8dbf7662250e76!5m2!4m1!1i2!8m2!3d16.0633409!4d108.244174!16s%2Fg%2F11g9ggnthx!19sChIJkRSDGIIXQjERdg4lYna_jV0?authuser=0&hl=vi&rclk=1,Pavilion Hotel DaNang,"4,3",(607),Khách sạn 4 sao,895 N,,
https://www.google.com/maps/place/Cani+Beach+House/data=!4m10!3m9!1s0x314217ace1d9a1db:0xcdf199763a8f9490!5m2!4m1!1i2!8m2!3d16.0848305!4d108.2474137!16s%2Fg%2F11f8j_fcmr!19sChIJ26HZ4awXQjERkJSPOnaZ8c0?authuser=0&hl=vi&rclk=1,Cani Beach House,"4,8",(51),Khách sạn 3 sao,840 N,,
