link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/N%C3%B3c+N%C3%B3c+-+Cocktails+%26+Tea/data=!4m7!3m6!1s0x314217eca147cb37:0xda89dee8d0e89f89!8m2!3d16.080964!4d108.2211754!16s%2Fg%2F11qjh8nb7p!19sChIJN8tHoewXQjERiZ_o0Ojeido?authuser=0&hl=vi&rclk=1,Nóc Nóc - Cocktails & Tea,"4,8",(27),Quán bar cocktail,2C Phan Bội Châu
https://www.google.com/maps/place/Pool+Bar/data=!4m7!3m6!1s0x314211ed9aa9ff95:0x9ecebd67f67a41f1!8m2!3d15.980758!4d108.2763181!16s%2Fg%2F11k0lrb13b!19sChIJlf-pmu0RQjER8UF69me9zp4?authuser=0&hl=vi&rclk=1,Pool Bar,,,Quán bar,35 Trường Sa
https://www.google.com/maps/place/LUXX+BEER+GARDEN/data=!4m7!3m6!1s0x3142199477f17095:0x255f3f182ed68b57!8m2!3d16.075397!4d108.1618501!16s%2Fg%2F11rfcykdkb!19sChIJlXDxd5QZQjERV4vWLhg_XyU?authuser=0&hl=vi&rclk=1,LUXX BEER GARDEN,"4,5",(15),Quán bar,12 13 Nguyễn Sinh Sắc
https://www.google.com/maps/place/Pub+stress/data=!4m7!3m6!1s0x31421989bfd55459:0xb0063e0e5cd8ae4d!8m2!3d16.059032!4d108.2121201!16s%2Fg%2F11j5f6zxwc!19sChIJWVTVv4kZQjERTa7YXA4-BrA?authuser=0&hl=vi&rclk=1,Pub stress,,,Quán bar,72 Đỗ Quang
https://www.google.com/maps/place/Bar+Ti%E1%BA%BFng+D%C6%B0%C6%A1ng+C%E1%BA%A7m/data=!4m7!3m6!1s0x314219cca14b1819:0x75db3fff11e1517f!8m2!3d16.0627149!4d108.2212023!16s%2Fg%2F1wj_3jjz!19sChIJGRhLocwZQjERf1HhEf8_23U?authuser=0&hl=vi&rclk=1,Bar Tiếng Dương Cầm,"3,8",(121),Quán bar,67 Hoàng Văn Thụ
https://www.google.com/maps/place/The+Speakeasy+Bar+%26+Tapas/data=!4m7!3m6!1s0x314217162496c17b:0x85e604bf3f59d59a!8m2!3d16.0806247!4d108.246817!16s%2Fg%2F11qbkm8v8g!19sChIJe8GWJBYXQjERmtVZP78E5oU?authuser=0&hl=vi&rclk=1,The Speakeasy Bar & Tapas,"5,0",(6),Quán bar cocktail,92 Võ Nguyên Giáp
https://www.google.com/maps/place/%C6%A0i+Bar/data=!4m7!3m6!1s0x314217546fdf937f:0x1bab0d9f57364783!8m2!3d16.0475218!4d108.2450774!16s%2Fg%2F11h_0p3g4_!19sChIJf5Pfb1QXQjERg0c2V58Nqxs?authuser=0&hl=vi&rclk=1,Ơi Bar,"4,3",(49),Bar thể thao,52 Đ. Ng. Thì Sĩ
https://www.google.com/maps/place/Ph%C3%AA+Craft+Beer+-+No%CC%81c+%26+N%C3%B4%CC%81c/data=!4m7!3m6!1s0x31421910545338fb:0xfa13aee1758798a5!8m2!3d16.0511417!4d108.2096099!16s%2Fg%2F11q363_dbq!19sChIJ-zhTVBAZQjERpZiHdeGuE_o?authuser=0&hl=vi&rclk=1,Phê Craft Beer - Nóc & Nốc,"4,6",(9),Quán bia sân vườn,211 Lê Đình Lý
https://www.google.com/maps/place/50Decibel-+Live+Music+Pub/data=!4m7!3m6!1s0x314217ccc10108af:0x20469d3e0239cf6f!8m2!3d16.0474039!4d108.244589!16s%2Fg%2F11r9pv4qfd!19sChIJrwgBwcwXQjERb885Aj6dRiA?authuser=0&hl=vi&rclk=1,50Decibel- Live Music Pub,"4,9",(20),Quán bar,36 Đ. Ng. Thì Sĩ
https://www.google.com/maps/place/PID+Beer/data=!4m7!3m6!1s0x314219e37c3e1601:0xd9353728c2ec249a!8m2!3d16.0604313!4d108.2158606!16s%2Fg%2F11j3s0h4hw!19sChIJARY-fOMZQjERmiTswig3Ndk?authuser=0&hl=vi&rclk=1,PID Beer,"5,0",(3),Quán rượu,17 Nguyễn Văn Linh
