link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+C%E1%BB%99i+ngu%E1%BB%93n+2/data=!4m7!3m6!1s0x31421995323bebdf:0x813df2679752fe5!8m2!3d16.0402398!4d108.2136106!16s%2Fg%2F11gdh66k2g!19sChIJ3-s7MpUZQjER5S91eSbfEwg?authuser=0&hl=vi&rclk=1,Nhà hàng Cội nguồn 2,"3,8",(238),Món ăn Việt Nam,"26R7+3CX, 30 Tháng 4"
https://www.google.com/maps/place/Th%C3%ACa+G%E1%BB%97+Restaurant+Da+Nang/data=!4m7!3m6!1s0x314219c3b54c18d7:0x5028941bdf1ab5f5!8m2!3d16.0760289!4d108.218511!16s%2Fg%2F11f3q_8q_1!19sChIJ1xhMtcMZQjER9bUa3xuUKFA?authuser=0&hl=vi&rclk=1,Thìa Gỗ Restaurant Da Nang,"4,6",(1.232),Món ăn Việt Nam,37 Ba Đình
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+%C4%90%C3%B4ng+D%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x314219ccfcc4cacf:0x86ec7de71b89175f!8m2!3d16.078787!4d108.2228555!16s%2Fg%2F11fv7qwyz1!19sChIJz8rE_MwZQjERXxeJG-d97IY?authuser=0&hl=vi&rclk=1,Nhà hàng Đông Dương,"4,1",(55),Nhà hàng,18 Đ. Trần Phú
https://www.google.com/maps/place/The+Eatery/data=!4m7!3m6!1s0x3142178e93e38fd5:0xf22d2142d09300b!8m2!3d16.0778744!4d108.2452977!16s%2Fg%2F11fnwhyfyk!19sChIJ1Y_jk44XQjERCzAJLRTSIg8?authuser=0&hl=vi&rclk=1,The Eatery,"4,7",(3),Nhà hàng,120 Võ Nguyên Giáp
https://www.google.com/maps/place/Son+Tra+Retreat+-+Garden+Lounge+%26+Eatery/data=!4m7!3m6!1s0x314217f7df95ea2d:0xfceb5ecbd4ea401f!8m2!3d16.1037247!4d108.2640959!16s%2Fg%2F11h23558pj!19sChIJLeqV3_cXQjERH0Dq1Mte6_w?authuser=0&hl=vi&rclk=1,Son Tra Retreat - Garden Lounge & Eatery,"4,9",(333),Nhà hàng,11 Lê Văn Lương
https://www.google.com/maps/place/Qu%C3%A1n+N%C6%B0%E1%BB%9Bng+Nh%E1%BA%ADt+B%E1%BA%A3n+Yen+Yakiniku+-+Buffet+n%C6%B0%E1%BB%9Bng+ngon+t%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142190683271b2f:0xef8575a1ab33c042!8m2!3d16.0554307!4d108.2224945!16s%2Fg%2F11m0tw4hmr!19sChIJLxsngwYZQjERQsAzq6F1he8?authuser=0&hl=vi&rclk=1,Quán Nướng Nhật Bản Yen Yakiniku - Buffet nướng ngon tại Đà Nẵng,"4,2",(152),Món ăn Nhật Bản,"Lô B41 khu, 2 Bình Minh 5"
https://www.google.com/maps/place/H%E1%BA%A3i+S%E1%BA%A3n+%C4%90%C3%A0+N%E1%BA%B5ng+B%C3%A9+Bi%E1%BB%83n/data=!4m7!3m6!1s0x314217bc80b20999:0xc121aceff3729571!8m2!3d16.0685271!4d108.2449805!16s%2Fg%2F11fj98nph9!19sChIJmQmygLwXQjERcZVy8--sIcE?authuser=0&hl=vi&rclk=1,Hải Sản Đà Nẵng Bé Biển,"4,6",(970),Đồ hải sản,202 Võ Nguyên Giáp
https://www.google.com/maps/place/Al+Fresco's/data=!4m7!3m6!1s0x31421832895f2129:0xd71eb6fbb748f373!8m2!3d16.0640671!4d108.2232655!16s%2Fg%2F11b7sywsyd!19sChIJKSFfiTIYQjERc_NIt_u2Htc?authuser=0&hl=vi&rclk=1,Al Fresco's,"4,1",(792),Món ăn miền Tây,210 Đ. Trần Phú
https://www.google.com/maps/place/Phu+Restaurant/data=!4m7!3m6!1s0x31421855a2d2fb4b:0xfa322e9b03d85098!8m2!3d16.0701291!4d108.1919373!16s%2Fg%2F1pzr5h14x!19sChIJS_vSolUYQjERmFDYA5suMvo?authuser=0&hl=vi&rclk=1,Phu Restaurant,"4,7",(3),Nhà hàng,"21, Ha Huy Tap Street, Xuan Ha Street, Thanh Khe District"
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Bi%E1%BB%83n+R%E1%BA%A1ng/data=!4m7!3m6!1s0x314217f272944dc7:0x6db9d8480275a9f1!8m2!3d16.0872898!4d108.2466762!16s%2Fg%2F11b682vp4m!19sChIJx02UcvIXQjER8al1AkjYuW0?authuser=0&hl=vi&rclk=1,Nhà hàng Biển Rạng,"4,0",(646),Đồ hải sản,51 Nguyễn Sáng
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+B%C3%A9+Anh/data=!4m7!3m6!1s0x3142178bf6e7c72b:0xbaaf3395d505d920!8m2!3d16.0690368!4d108.242905!16s%2Fg%2F11bxdyp8q1!19sChIJK8fn9osXQjERINkF1ZUzr7o?authuser=0&hl=vi&rclk=1,Nhà Hàng Bé Anh,"3,7",(2.524),Nhà hàng,"Ngã tư Phạm Văn Đồng, Hồ Nghinh nối dài tới ngã tư Dương Đình Nghệ, Hồ Nghinh"
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Vi%E1%BB%87t+Nam/data=!4m7!3m6!1s0x31421839cb704f31:0x38d49370803b7a7b!8m2!3d16.07675!4d108.216957!16s%2Fg%2F11f06kpm2w!19sChIJMU9wyzkYQjERe3o7gHCT1Dg?authuser=0&hl=vi&rclk=1,Nhà hàng Việt Nam,"3,8",(111),Nhà hàng,55 Lý Tự Trọng
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+S%C6%A1n+D%C6%B0%C6%A1ng+2+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x31421929e711d1cb:0x39ac2b8f788a941f!8m2!3d16.032158!4d108.214894!16s%2Fg%2F11p67fm30_!19sChIJy9ER5ykZQjERH5SKeI8rrDk?authuser=0&hl=vi&rclk=1,Nhà hàng Sơn Dương 2 Đà Nẵng,"3,7",(36),Món ăn Việt Nam,204 Xô Viết Nghệ Tĩnh
"https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+h%E1%BA%A3i+s%E1%BA%A3n,+Buffet+h%E1%BA%A3i+s%E1%BA%A3n+%C4%90%C3%A0+N%E1%BA%B5ng+-+Brilliant+Seafood+Restaurant/data=!4m7!3m6!1s0x314217728870a861:0xc881694f770622d0!8m2!3d16.068652!4d108.2430556!16s%2Fg%2F11fb0q_0vf!19sChIJYahwiHIXQjER0CIGd09pgcg?authuser=0&hl=vi&rclk=1","Nhà hàng hải sản, Buffet hải sản Đà Nẵng - Brilliant Seafood Restaurant","4,6",(1.192),Đồ hải sản,178 Hồ Nghinh
https://www.google.com/maps/place/Danang+local+food+restaurant/data=!4m7!3m6!1s0x31421832e6f989eb:0x81a3a37b2d2e876c!8m2!3d16.065474!4d108.2234574!16s%2Fg%2F11bxdtwpq7!19sChIJ64n55jIYQjERbIcuLXujo4E?authuser=0&hl=vi&rclk=1,Danang local food restaurant,,,Nhà hàng,"Q. Hải Châu, 176 Đ. Trần Phú"
https://www.google.com/maps/place/Qu%C3%A1n+H%E1%BA%A3i+S%E1%BA%A3n+Th%E1%BB%9Di+C%E1%BB%95+%C4%90%C3%A0+N%E1%BA%B5ng-The+Antique+Restaurant/data=!4m7!3m6!1s0x3142177976f97ad5:0x3d4a6a72dc718a49!8m2!3d16.0438626!4d108.2473136!16s%2Fg%2F11fd4pvng9!19sChIJ1Xr5dnkXQjERSYpx3HJqSj0?authuser=0&hl=vi&rclk=1,Quán Hải Sản Thời Cổ Đà Nẵng-The Antique Restaurant,"4,2",(338),Nhà hàng,354/1 Võ Nguyên Giáp
https://www.google.com/maps/place/Le+Comptoir/data=!4m7!3m6!1s0x31421772a3e3e8c3:0x107487f9a6308c!8m2!3d16.0426797!4d108.2454417!16s%2Fg%2F11gl587yy9!19sChIJw-jjo3IXQjERjDCm-Yd0EAA?authuser=0&hl=vi&rclk=1,Le Comptoir,"4,8",(239),Món ăn Pháp,16 Chế Lan Viên
https://www.google.com/maps/place/H%E1%BA%A3i+s%E1%BA%A3n+Ph%E1%BB%91/data=!4m7!3m6!1s0x31421765674d3e1b:0x1428d0c9dccc296e!8m2!3d16.0480943!4d108.2494989!16s%2Fg%2F11fy4s6lw6!19sChIJGz5NZ2UXQjERbinM3MnQKBQ?authuser=0&hl=vi&rclk=1,Hải sản Phố,"4,0",(1.566),Đồ hải sản,51 Võ Nguyên Giáp
https://www.google.com/maps/place/Sofia+Restaurant+Danang/data=!4m7!3m6!1s0x31421788496b6917:0x488625a614611028!8m2!3d16.0705142!4d108.2424457!16s%2Fg%2F12vsyhb54!19sChIJF2lrSYgXQjERKBBhFKYlhkg?authuser=0&hl=vi&rclk=1,Sofia Restaurant Danang,"4,4",(419),Nhà hàng,"Lô I, 11 Phạm Văn Đồng"
https://www.google.com/maps/place/Family+Indian+Halal+Restaurant/data=!4m7!3m6!1s0x31421780c4dcd879:0x9684675aa6ad9869!8m2!3d16.0669271!4d108.2433426!16s%2Fg%2F11cr_hkggc!19sChIJedjcxIAXQjERaZitplpnhJY?authuser=0&hl=vi&rclk=1,Family Indian Halal Restaurant,"4,4",(1.482),Món ăn Ấn Ðộ,231 Hồ Nghinh
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Chay+Ng%E1%BB%8Dc+Chi/data=!4m7!3m6!1s0x314218333e6f093f:0x93629be0d4939e13!8m2!3d16.0618803!4d108.2174326!16s%2Fg%2F1trtrszc!19sChIJPwlvPjMYQjERE56T1OCbYpM?authuser=0&hl=vi&rclk=1,Nhà Hàng Chay Ngọc Chi,"4,2",(377),Đồ chay,202 Hoàng Diệu
