link,name,avgRating,numOfRating,category,price,plusCode
https://www.google.com/maps/place/Sofia+Suite+Hotel+Da+Nang/data=!4m10!3m9!1s0x3142177b342cd561:0xe069bfb7f931020!5m2!4m1!1i2!8m2!3d16.054959!4d108.2441299!16s%2Fg%2F11c5g_sscn!19sChIJYdUsNHsXQjERIBCTf_ubBg4?authuser=0&hl=vi&rclk=1,Sofia Suite Hotel Da Nang,4.5,367,Khách sạn 3 sao,412 N,
https://www.google.com/maps/place/Haian+Beach+Hotel+%26+Spa/data=!4m10!3m9!1s0x3142177a5e88b85b:0x6efe50bad84535c3!5m2!4m1!1i2!8m2!3d16.0530442!4d108.2475282!16s%2Fg%2F11f66td7p7!19sChIJW7iIXnoXQjERwzVF2LpQ_m4?authuser=0&hl=vi&rclk=1,Haian Beach Hotel & Spa,4.3,1002,Khách sạn 4 sao,"1,04 Tr",
https://www.google.com/maps/place/SUNNY+BEACH+HOTEL+%26+APARTMENT/data=!4m10!3m9!1s0x3142197ca4f3968f:0x1b6c2035272e202a!5m2!4m1!1i2!8m2!3d16.0697665!4d108.2352729!16s%2Fg%2F11t5k9bps1!19sChIJj5bzpHwZQjERKiAuJzUgbBs?authuser=0&hl=vi&rclk=1,SUNNY BEACH HOTEL & APARTMENT,5.0,1,Khách sạn 2 sao,375 N,
https://www.google.com/maps/place/Fusion+Suites+Da+Nang/data=!4m10!3m9!1s0x3142178da9720b99:0x79a511f54df7b9b1!5m2!4m1!1i2!8m2!3d16.0811443!4d108.2469848!16s%2Fg%2F11b7l81m0j!19sChIJmQtyqY0XQjERsbn3TfURpXk?authuser=0&hl=vi&rclk=1,Fusion Suites Da Nang,4.4,1480,Khách sạn 5 sao,"1,41 Tr",
https://www.google.com/maps/place/Angel+Hotel+Danang/data=!4m10!3m9!1s0x3142178163a72ff3:0x40fe2d178e83add4!5m2!4m1!1i2!8m2!3d16.0679729!4d108.2433746!16s%2Fg%2F11yfk34qy!19sChIJ8y-nY4EXQjER1K2Djhct_kA?authuser=0&hl=vi&rclk=1,Angel Hotel Danang,4.1,168,Khách sạn 3 sao,383 N,
https://www.google.com/maps/place/Maris+Da+Nang+Hotel+%26+Apartment/data=!4m10!3m9!1s0x3142182b93b4f4f7:0xaafc648896fb1c34!5m2!4m1!1i2!8m2!3d16.0639698!4d108.2333456!16s%2Fg%2F11qqnx7gv9!19sChIJ9_S0kysYQjERNBz7lohk_Ko?authuser=0&hl=vi&rclk=1,Maris Da Nang Hotel & Apartment,4.4,10,Khách sạn,366 N,
https://www.google.com/maps/place/Eden+Plaza+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x314219c724777be3:0x69e63b50f21f87bb!5m2!4m1!1i2!8m2!3d16.0483905!4d108.2164463!16s%2Fg%2F1hhxbdyjh!19sChIJ43t3JMcZQjERu4cf8lA75mk?authuser=0&hl=vi&rclk=1,Eden Plaza Đà Nẵng,4.0,1074,Khách sạn 4 sao,678 N,
https://www.google.com/maps/place/New+Tourane+Hotel/data=!4m10!3m9!1s0x31421799fdd281eb:0x4d8732e2f3cfea43!5m2!4m1!1i2!8m2!3d16.0632952!4d108.2391184!16s%2Fg%2F11h9lk6b_g!19sChIJ64HS_ZkXQjERQ-rP8-Iyh00?authuser=0&hl=vi&rclk=1,New Tourane Hotel,5.0,7,Khách sạn,270 N,
https://www.google.com/maps/place/Vitalis+Riverside+Hotel/data=!4m10!3m9!1s0x31421823822beeab:0xf45b7e33ed38e159!5m2!4m1!1i2!8m2!3d16.0806861!4d108.2290217!16s%2Fg%2F11f66h44c1!19sChIJq-4rgiMYQjERWeE47TN-W_Q?authuser=0&hl=vi&rclk=1,Vitalis Riverside Hotel,4.2,90,Khách sạn 3 sao,165 N,
https://www.google.com/maps/place/Risemount+Premier+Resort+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x3142177c46837343:0xf40f5197d1ba3cb1!5m2!4m1!1i2!8m2!3d16.0546179!4d108.2420798!16s%2Fg%2F11cr_gdp6p!19sChIJQ3ODRnwXQjERsTy60ZdRD_Q?authuser=0&hl=vi&rclk=1,Risemount Premier Resort Đà Nẵng,4.4,1346,Khách sạn 5 sao,"1,04 Tr",
